year,revenue
31-Jul-19,1.667B
30-Apr-19,1.743B
31-Jan-19,2.125B
31-Oct-18,1.560B
31-Jul-18,1.488B
30-Apr-18,1.544B
31-Jan-18,1.938B
31-Oct-17,1.342B
31-Jul-17,1.290B
30-Apr-17,1.315B
31-Jan-17,1.581B
31-Oct-16,1.131B
31-Jul-16,1.069B
30-Apr-16,1.074B
31-Jan-16,1.268B
31-Oct-15,910.70M
31-Jul-15,877.00M
30-Apr-15,868.12M
31-Jan-15,1.048B
31-Oct-14,745.72M
31-Jul-14,734.24M
30-Apr-14,713.77M
31-Jan-14,868.08M
31-Oct-13,618.78M
31-Jul-13,601.00M
30-Apr-13,582.71M
31-Jan-13,758.84M
31-Oct-12,505.64M
31-Jul-12,481.68M
30-Apr-12,474.10M
31-Jan-12,582.51M
31-Oct-11,413.07M
31-Jul-11,394.57M
30-Apr-11,386.01M
31-Jan-11,473.66M
31-Oct-10,339.18M
31-Jul-10,321.80M
30-Apr-10,320.20M
31-Jan-10,396.36M
31-Oct-09,284.04M
31-Jul-09,273.54M
30-Apr-09,268.82M
31-Jan-09,341.39M
31-Oct-08,254.84M
31-Jul-08,249.11M
30-Apr-08,239.30M
31-Jan-08,309.34M
31-Oct-07,208.24M
31-Jul-07,200.45M
30-Apr-07,194.11M
31-Jan-07,216.54M
31-Oct-06,216.54M
31-Jul-06,162.56M
30-Apr-06,159.47M
31-Jan-06,144.77M
31-Oct-05,144.77M
31-Jul-05,144.77M
30-Apr-05,144.77M
